full_name,unique_id,full_name,electoral_district,category_declaration,income_category,income_description,income_value,income_value_clean,taxes_value,property_category,property_description,property_location,property_date,property_legal,deposits_description,deposits_value,deposits_value_clean,other_financial_category,other_financial_description,other_financial_euros,other_financial_clean,vehicles_date,vehicles_description,other_nocat_description,other_nocat_value,debt_institution,debt_date,debt_amount,debt_amount_remain,debt_other,comments
ALFONSO RODRIGUEZ GÓMEZ DE CELIS,AlfonsoRodriguezGómezDeCelis,ALFONSO RODRIGUEZ GÓMEZ DE CELIS,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo hipotecario con Banco Mediolanum sobre vivienda,2021,200000,200000,200000,
ALFONSO RODRIGUEZ GÓMEZ DE CELIS,AlfonsoRodriguezGómezDeCelis,ALFONSO RODRIGUEZ GÓMEZ DE CELIS,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediante declaración de fecha 19/05/21 se informó sobre la venta de esta vivienda y aparcamiento a su ex conyuge.
ALFONSO RODRIGUEZ GÓMEZ DE CELIS,AlfonsoRodriguezGómezDeCelis,ALFONSO RODRIGUEZ GÓMEZ DE CELIS,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediante declaración de fecha 4/11/20 se informa que el piso ha sifdo donado a su conyuge.
ALFONSO RODRIGUEZ GÓMEZ DE CELIS,AlfonsoRodriguezGómezDeCelis,ALFONSO RODRIGUEZ GÓMEZ DE CELIS,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Se actualiza la información mediante declaración del 4/11/20
ALFONSO RODRIGUEZ GÓMEZ DE CELIS,AlfonsoRodriguezGómezDeCelis,ALFONSO RODRIGUEZ GÓMEZ DE CELIS,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Se actualiza la información mediante declaración del 19/05/21
ALICIA GARCÍA RODRIGUEZ,AliciaGarcíaRodriguez,ALICIA GARCÍA RODRIGUEZ,AVILA,bienes patrimoniales,,,,,,Bienes de naturaleza urbana,"Vivienda, trastero y dos plazas de garaje",Valladolid,n/a,Ganancial compraventa,,,,,,,,,,,,,,,,,
ALICIA GARCÍA RODRIGUEZ,AliciaGarcíaRodriguez,ALICIA GARCÍA RODRIGUEZ,,dueda,,,,,,,,,,,,,,,,,,,,,,Prstamo hipotecario,43858,241000,,,
ALICIA GARCÍA RODRIGUEZ,AliciaGarcíaRodriguez,ALICIA GARCÍA RODRIGUEZ,,vehiculos,,,,,,,,,,,,,,,,,,2021,Volkswagen Golf Plus 1.9,,,,,,,,
ALICIA GARCÍA RODRIGUEZ,AliciaGarcíaRodriguez,ALICIA GARCÍA RODRIGUEZ,,vehiculos,,,,,,,,,,,,,,,,,,2021,Mini Cooper Countryman,,,,,,,,
ALICIA GARCÍA RODRÍGUEZ,AliciaGarcíARodríGuez,ALICIA GARCÍA RODRÍGUEZ,,cantidad pagada por irpf,,,,,27015.89,,,,,,,,,,,,,,,,,,,,,,
