full_name,unique_id,full_name,electoral_district,category_declaration,income_category,income_description,income_value,income_value_clean,taxes_value,property_category,property_description,property_location,property_date,property_legal,deposits_description,deposits_value,deposits_value_clean,other_financial_category,other_financial_description,other_financial_euros,other_financial_clean,vehicles_date,vehicles_description,other_nocat_description,other_nocat_value,debt_institution,debt_date,debt_amount,debt_amount_remain,debt_other,comments
AURELIO ZAPATA SIMÓN,AurelioZapataSimón,AURELIO ZAPATA SIMÓN,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",NOMINA  UNIDREAMS SL.,27500,27500,,,,,,,,,,,,,,,,,,,,,,,
AURELIO ZAPATA SIMÓN,AurelioZapataSimón,AURELIO ZAPATA SIMÓN,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",UNIVERSIDAD DE ALCALA,8280,8280,,,,,,,,,,,,,,,,,,,,,,,
AURELIO ZAPATA SIMÓN,AurelioZapataSimón,AURELIO ZAPATA SIMÓN,,vehiculos,,,,,,,,,,,,,,,,,,2017,Renault Kadjar,,,,,,,,
AURELIO ZAPATA SIMÓN,AurelioZapataSimón,AURELIO ZAPATA SIMÓN,,vehiculos,,,,,,,,,,,,,,,,,,2020,Nissan Micra,,,,,,,,
CARLOS JOSE ZAMBRANO GARCIA-RAEZ,CarlosJoseZambranoGarcia-Raez,CARLOS JOSE ZAMBRANO GARCIA-RAEZ,CADIZ,cantidad pagada por irpf,,,,,0,,,,,,,,,,,,,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,GRANADA,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza rústica,Finca rústica,Granada,2011,"Propiedad compartida, herencia",,,,,,,,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza rústica,Finca rústica,Granada,2017,"Propiedad compartida, herencia",,,,,,,,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Finca urbana ,Madrid,2021,No precisa,,,,,,,,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Finca urbana vivienda,Madrid,2021,No precisa,,,,,,,,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Finca urbana vivienda,Madrid,2021,No precisa,,,,,,,,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,cantidad pagada por irpf,,,,,33371.64,,,,,,,,,,,,,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,cantidad pagada por irpf,,,,,25902,,,,,,,,,,,,,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,cantidad pagada por irpf,,,,,25902.43,,,,,,,,,,,,,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,deposits,,,,,,,,,,,"Saldo en cuentas corrientes BBVA, Santander, Bankinter, Bankia",1300,1300,,,,,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,deposits,,,,,,,,,,,"Saldo en cuentas corrientes BBVA, Santander, Bankinter, Bankia",6056,6056,,,,,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo hipotecario Bankinter para la adquisición de un inmueble,2018,78000,73073,73073,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo personal Bankinter,2019,48000,43393,43393,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo hipotecario Bankinter para la adquisición de un inmueble,2019,115000,109844,109844,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo hipotecario Santander para la adquisición de un inmueble,2021,313000,313000,313000,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo hipotecario Bankinter para la adquisición de un inmueble,2018,78000,70935,70935,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo personal Bankinter,2019,48000,37759,37759,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo hipotecario Bankinter para la adquisición de un inmueble,2021,152506,152506,152506,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo hipotecario Santander para la adquisición de un inmueble,2021,313000,302438,302438,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo hipotecario Santander para la adquisición de un inmueble,2021,60000,59822,59822,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo personal Bankinter,2021,50000,47726,47726,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,"En la declaración de fecha 23/12/21 este inmueble fue eliminado, no hay información sobre su venta o donación."
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,"Se incluyó en las observaciones, por falta de espacio. Con fecha 12/05/21 se declara que la finca fue vendida, generando una percepción de 60000 euros."
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Información actualizada mediante declaración de fecha 12/05/21
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Información actualizada mediante declaración de fecha 12/05/21
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,"Se incluyó en las observaciones, por falta de espacio"
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Información actualizada mediante declaración de fecha 23/12/21
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Información actualizada mediante declaración de fecha 23/12/21
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Información actualizada mediante declaración de fecha 23/12/21
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Información actualizada mediante declaración de fecha 23/12/21
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,"La declaración de fecha 23/12/21 no contiene información sobre esta deuda, se asume que se liquidó"
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Información actualizada mediante declaración de fecha 23/12/21
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,"Se incluyó en las observaciones, por falta de espacio"
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,"Se incluyó en las observaciones, por falta de espacio"
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,otros,,,,,,,,,,,,,,,,,,,,Mutualidad de la abogacía,13700,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,otros,,,,,,,,,,,,,,,,,,,,Mutualidad de la abogacía,16300,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,otros bienes o derechos,,,,,,,,,,,,,,"Deuda pública, obligaciones, bonos, certificados de depósito, pagarés y demás valores equivalentes. Acciones y participaciones de todo tipo de sociedades, entidades con valor económico y cooperativas.","Antena 3 (4), Banco Sabadell (2404), Banco Santader (13315), Ferrovial (845), Fomento (362), Enagas (230), Gamesa (526), Repsol (196) , técnicas reunidad (80), Telefónica (4837), Mapfre (200), BBVA (143), D telekom (27), Iberdrola (649)",133823,133823,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,otros bienes o derechos,,,,,,,,,,,,,,"Deuda pública, obligaciones, bonos, certificados de depósito, pagarés y demás valores equivalentes. Acciones y participaciones de todo tipo de sociedades, entidades con valor económico y cooperativas.","Banco Sabadell, Mapfre, Gamesa, Iberdrola, Iberia, BBVA, Santander, Técnicas Reunidas, REPSOL, BBVA, Iberdrola, Ferrovia",125810,125810,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,otros bienes o derechos,,,,,,,,,,,,,,"Deuda pública, obligaciones, bonos, certificados de depósito, pagarés y demás valores equivalentes. Acciones y participaciones de todo tipo de sociedades, entidades con valor económico y cooperativas.","Banco Sabadell, Banco Santander,Ferrovial, IAG, Telefónica, BBVA, Deutsche Telekom NPV",91054,91054,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,otros bienes o derechos,,,,,,,,,,,,,,"Deuda pública, obligaciones, bonos, certificados de depósito, pagarés y demás valores equivalentes. Acciones y participaciones de todo tipo de sociedades, entidades con valor económico y cooperativas.",Quality Inver fondo BBVA,772,772,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,otros bienes o derechos,,,,,,,,,,,,,,"Deuda pública, obligaciones, bonos, certificados de depósito, pagarés y demás valores equivalentes. Acciones y participaciones de todo tipo de sociedades, entidades con valor económico y cooperativas.",Santander Acciones Españolas,1037,1037,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,otros bienes o derechos,,,,,,,,,,,,,,"Deuda pública, obligaciones, bonos, certificados de depósito, pagarés y demás valores equivalentes. Acciones y participaciones de todo tipo de sociedades, entidades con valor económico y cooperativas.",Santander Selección RVN Norteamérica,10149,10149,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,otros bienes o derechos,,,,,,,,,,,,,,"Deuda pública, obligaciones, bonos, certificados de depósito, pagarés y demás valores equivalentes. Acciones y participaciones de todo tipo de sociedades, entidades con valor económico y cooperativas.",Bankinter Platea,693,693,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,otros bienes o derechos,,,,,,,,,,,,,,"Deuda pública, obligaciones, bonos, certificados de depósito, pagarés y demás valores equivalentes. Acciones y participaciones de todo tipo de sociedades, entidades con valor económico y cooperativas.",Bankinter Mixto Bolsa,1588,1588,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,rentas,"Dividendos y participación en beneficios de sociedades, comunidades o entidades de cualquier clase ",Dividendos acciones en bolsa,1500,1500,,,,,,,,,,,,,,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,rentas,"Intereses o rendimientos de cuentas, depósitos y activos financieros",Depósitos y cuentas,200,200,,,,,,,,,,,,,,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,rentas,Otras rentas o percepciones de cualquier clase,Alquileres de bienes inmuebles y fincas rústicas (herencia),27560,27560,,,,,,,,,,,,,,,,,,,,,,,
CARLOS ROJAS GARCÍA,CarlosRojasGarcía,CARLOS ROJAS GARCÍA,,rentas,Otras rentas o percepciones de cualquier clase,Venta de finca rústica ,60000,60000,,,,,,,,,,,,,,,,,,,,,,,
CARMELO ROMERO HERNANDEZ,CarmeloRomeroHernandez,CARMELO ROMERO HERNANDEZ,ANDALUCIA,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Piso,Palos de la frontera,1988,"Ganancial. Compraventa, pleno dominio",,,,,,,,,,,,,,,,,
CARMELO ROMERO HERNANDEZ,CarmeloRomeroHernandez,CARMELO ROMERO HERNANDEZ,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Vivienda,Mazagon (Huelva),2021,Pleno dominio compraventa,,,,,,,,,,,,,,,,,
CARMELO ROMERO HERNANDEZ,CarmeloRomeroHernandez,CARMELO ROMERO HERNANDEZ,,cantidad pagada por irpf,,,,,19479.62,,,,,,,,,,,,,,,,,,,,,,
CARMELO ROMERO HERNANDEZ,CarmeloRomeroHernandez,CARMELO ROMERO HERNANDEZ,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mediante declaración de fecha 16/12/20 se informa que el 19 de mayo de 2020 el piso situado en Calle Juan Bermudez N3, 2 IZD, fue vendido por el valor de 65000 euros."
CARMELO ROMERO HERNANDEZ,CarmeloRomeroHernandez,CARMELO ROMERO HERNANDEZ,,rentas,Otras rentas o percepciones de cualquier clase,"Premiado en la lotería nacional en su sorteo de navidad del año 2021 con un décimo de ""El Gordo"", en una cuantía de 400000 euros.",400000,400000,,,,,,,,,,,,,,,,,,,,,,,
CARMEN CALVO POYATO,CarmenCalvoPoyato,CARMEN CALVO POYATO,MADRID,bienes patrimoniales,,,,,,Bienes de naturaleza urbana,Piso,Córdova ,2012,"Pleno dominio, compraventa",,,,,,,,,,,,,,,,,
CARMEN CALVO POYATO,CarmenCalvoPoyato,CARMEN CALVO POYATO,,bienes patrimoniales,,,,,,Bienes de naturaleza urbana,Garage,Córdova ,2012,"Pleno dominio, compraventa",,,,,,,,,,,,,,,,,
CARMEN CALVO POYATO,CarmenCalvoPoyato,CARMEN CALVO POYATO,,cantidad pagada por irpf,,,,,14599.49,,,,,,,,,,,,,,,,,,,,,,
CARMEN CALVO POYATO,CarmenCalvoPoyato,CARMEN CALVO POYATO,,deposits,,,,,,,,,,,Banco Santander Cta/cte (fecha valor 01/10/2019)  ,68183,68183,,,,,,,,,,,,,,
CARMEN CALVO POYATO,CarmenCalvoPoyato,CARMEN CALVO POYATO,,deposits,,,,,,,,,,,Banco Santander Cta/cte (fecha valor 16/12/20)  ,176828.22,176828.22,,,,,,,,,,,,,,
CARMEN CALVO POYATO,CarmenCalvoPoyato,CARMEN CALVO POYATO,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo hipotecario Banco Santander,40221,180000,125030,125030,
CARMEN CALVO POYATO,CarmenCalvoPoyato,CARMEN CALVO POYATO,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediante declaración de fecha 18/12/20 se informa la venta de este inmueble
CARMEN CALVO POYATO,CarmenCalvoPoyato,CARMEN CALVO POYATO,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mediante declaración de fecha 18/12/20 se informa la venta de este inmueble. Sin embargo, con mediante declaración del 13/07/2021 se realiza una rectificación y se señala que la información presentada en la declaración del 18/12/20 estaba errada."
CARMEN CALVO POYATO,CarmenCalvoPoyato,CARMEN CALVO POYATO,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Información actualizada mediante declaración de fecha 18/12/20
CARMEN CALVO POYATO,CarmenCalvoPoyato,CARMEN CALVO POYATO,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediante declaración de fecha 18/12/20 se informa la amortización de este crédito con el dinero de la venta del piso situado en Córdova
CARMEN NAVARRO LACOBA,CarmenNavarroLacoba,CARMEN NAVARRO LACOBA,ALBACETE,cantidad pagada por irpf,,,,,13224.62,,,,,,,,,,,,,,,,,,,,,,
CAROLLNA TELECHEA I LOZANO,CarollnaTelecheaILozano,CAROLLNA TELECHEA I LOZANO,BARCELONA,cantidad pagada por irpf,,,,,47868.1,,,,,,,,,,,,,,,,,,,,,,
CÉSAR SÁNCHEZ PÉREZ,CésarSánchezPérez,CÉSAR SÁNCHEZ PÉREZ,ALICANTE,cantidad pagada por irpf,,,,,27152.97,,,,,,,,,,,,,,,,,,,,,,
DANIEL SENDEROS ORAÁ,DanielSenderosOraá,DANIEL SENDEROS ORAÁ,ÁLAVA,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Vvienda con plaza de garaje,Haro (La Rioja),2009,Compra venta gananciales,,,,,,,,,,,,,,,,,
DANIEL SENDEROS ORAÁ,DanielSenderosOraá,DANIEL SENDEROS ORAÁ,,cantidad pagada por irpf,,,,,18082.44,,,,,,,,,,,,,,,,,,,,,,
DANIEL SENDEROS ORAÁ,DanielSenderosOraá,DANIEL SENDEROS ORAÁ,,deposits,,,,,,,,,,,KUTXABANK,5000,5000,,,,,,,,,,,,,,
DANIEL SENDEROS ORAÁ,DanielSenderosOraá,DANIEL SENDEROS ORAÁ,,dueda,,,,,,,,,,,,,,,,,,,,,,KUTXABANK- Hipotecario,40011,135000,89222.32,89222.32,
DANIEL SENDEROS ORAÁ,DanielSenderosOraá,DANIEL SENDEROS ORAÁ,,dueda,,,,,,,,,,,,,,,,,,,,,,KUTXABANK- Personal,43111,12256.36,9190.76,9190.76,
DANIEL SENDEROS ORAÁ,DanielSenderosOraá,DANIEL SENDEROS ORAÁ,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo Personal,44942,22490,22490,22490,
DANIEL SENDEROS ORAÁ,DanielSenderosOraá,DANIEL SENDEROS ORAÁ,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorporacion del préstamo personal para la adquisiciòn del vehículo nuevo Citroen C-4
DANIEL SENDEROS ORAÁ,DanielSenderosOraá,DANIEL SENDEROS ORAÁ,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",Gobierno Vasco,4987.69,4987.69,,,,,,,,,,,,,,,,,,,,,,,
DANIEL SENDEROS ORAÁ,DanielSenderosOraá,DANIEL SENDEROS ORAÁ,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",Dietas Ayuntamiento Moreda de Älava,144,144,,,,,,,,,,,,,,,,,,,,,,,
DANIEL SENDEROS ORAÁ,DanielSenderosOraá,DANIEL SENDEROS ORAÁ,,vehiculos,,,,,,,,,,,,,,,,,,2012,Vehiculo Volswagen Passat Familiar,,,,,,,,
DANIEL SENDEROS ORAÁ,DanielSenderosOraá,DANIEL SENDEROS ORAÁ,,vehiculos,,,,,,,,,,,,,,,,,,2023,Citroen C4 Color Marrón,,,,,,,,
DAVID SERRADA PARIENTE,DavidSerradaPariente,DAVID SERRADA PARIENTE,Salamanca,cantidad pagada por irpf,,,,,12682.84,,,,,,,,,,,,,,,,,,,,,,
DAVID SERRADA PARIENTE,DavidSerradaPariente,DAVID SERRADA PARIENTE,,cantidad pagada por irpf,,,,,11102.7,,,,,,,,,,,,,,,,,,,,,,
DAVID SERRADA PARIENTE,DavidSerradaPariente,DAVID SERRADA PARIENTE,,cantidad pagada por irpf,,,,,11726.91,,,,,,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,CORUÑA,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Piso,A Coruña,2005,Pleno Dominio,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Vivienda,A Coruña,2021,Pleno Dominio,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Piso,A Coruña,2019,Pleno Dominio,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Piso,A Coruña,2005,Pleno Dominio Compraventa,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Vivienda Unifamiliar,A Coruña,2012,Ganaciales Autoconstruccion,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Piso,A Coruña,2019,ganaciales Compraventa,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Piso,A Coruña,2021,ganaciales Compraventa,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Plaza Garaje y Trastero,A Coruña,2021,ganaciales Compraventa,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Piso - Plaza de garaje,A Coruña,2023,ganaciales Compraventa,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,cantidad pagada por irpf,,,,,10239.38,,,,,,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,cantidad pagada por irpf,,,,,10239.37,,,,,,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,deposits,,,,,,,,,,,Deposito a la Vista,36890,36890,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,deposits,,,,,,,,,,,Cuenta Corriente a 31 de dciembre 2020,67593.5,67593.5,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo Hipotecario en Abanca,2007,90000,9893,9893,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",Dieta concejal,21783,21783,,,,,,,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",Ingresos Profesionales (Abogado),26995,26995,,,,,,,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",Rendimientos Capital inmobiliario,16800,16800,,,,,,,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",Rendimientos Capital Inmobiliario,16800,16800,,,,,,,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",Rendimientos Capital Inmobiliario,23982,23982,,,,,,,,,,,,,,,,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,vehiculos,,,,,,,,,,,,,,,,,,2018,Vehiculo Turismo (Tarjeta Eco) - Land Rover Discovery Sport,,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,vehiculos,,,,,,,,,,,,,,,,,,2018,Turismo Lan Rover Discovery Sport (ECO),,,,,,,,
DIEGO TAIBO MONELOS,DiegoTaiboMonelos,DIEGO TAIBO MONELOS,,vehiculos,,,,,,,,,,,,,,,,,,2018,LAND ROVER DISCOVERY SPORT (TARJETA ECO),,,,,,,,
EZEQUIEL GARCÍA NIETO,EzequielGarcíaNieto,EZEQUIEL GARCÍA NIETO,SEVILLA,cantidad pagada por irpf,,,,,3691.34,,,,,,,,,,,,,,,,,,,,,,
EZEQUIEL GARCÍA NIETO,EzequielGarcíaNieto,EZEQUIEL GARCÍA NIETO,,deposits,,,,,,,,,,,Cuentas corrientes,"3,901,92",3901.92,,,,,,,,,,,,,,
EZEQUIEL GARCÍA NIETO,EzequielGarcíaNieto,EZEQUIEL GARCÍA NIETO,,dueda,,,,,,,,,,,,,,,,,,,,,,Prestamo personal vivienda (dación en pago parcial/ Cajasur banco),39190,"155,800,00","14,988,09",14988.09,
EZEQUIEL GARCÍA NIETO,EzequielGarcíaNieto,EZEQUIEL GARCÍA NIETO,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",                        ,"28,045,50",28045.5,,,,,,,,,,,,,,,,,,,,,,,
EZEQUIEL GARCÍA NIETO,EzequielGarcíaNieto,EZEQUIEL GARCÍA NIETO,,vehiculos,,,,,,,,,,,,,,,,,,2016,Seat Ibiza 1.2 TDI,,,,,,,,
FRANCISCO ARANDA VARGAS,FranciscoArandaVargas,FRANCISCO ARANDA VARGAS,BARCELONA,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Vivienda habitual,Sabadell,2005,"Pleno dominio, compraventa 50% declarante",,,,,,,,,,,,,,,,,
FRANCISCO ARANDA VARGAS,FranciscoArandaVargas,FRANCISCO ARANDA VARGAS,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Vivienda habitual,Sabadell,2022,"Pleno dominio, compraventa 50% declarante",,,,,,,,,,,,,,,,,
FRANCISCO ARANDA VARGAS,FranciscoArandaVargas,FRANCISCO ARANDA VARGAS,,cantidad pagada por irpf,,,,,18315.62,,,,,,,,,,,,,,,,,,,,,,
