,Gender,Group,GroupAbbr,Id,Legis,Link,LinkBienesPdf,Name
206,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18311,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18311,https://www.senado.es/legis14/senadores/regbi/DBR_847.pdf,"MOSCOSO GONZÁLEZ, ALFONSO CARLOS"
207,V,"GRUPO PARLAMENTARIO DE IZQUIERDA CONFEDERAL (MÉS PER MALLORCA, MÁS MADRID, COMPROMÍS, GEROA BAI Y AGRUPACIÓN SOCIALISTA GOMERA)",GPIC,16605,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=16605,https://www.senado.es/legis14/senadores/regbi/DBR_110389.pdf,"MULET GARCÍA, CARLES"
208,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19058,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19058,https://www.senado.es/legis14/senadores/regbi/DBR_163005.pdf,"MUÑOZ ARBONA, DAVID JUAN"
209,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18239,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18239,https://www.senado.es/legis14/senadores/regbi/DBR_2218.pdf,"MUÑOZ CUENCA, ALFONSO"
210,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,18526,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18526,https://www.senado.es/legis14/senadores/regbi/DBR_761.pdf,"MUÑOZ FONTERIZ, ELENA"
211,V,"GRUPO PARLAMENTARIO DEMOCRÁTICO (CIUDADANOS, AGRUPACIÓN DE ELECTORES ",GPD,19445,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19445,https://www.senado.es/legis14/senadores/regbi/DBR_98310.pdf,"MUÑOZ LAGARES, JOSÉ LUIS"
212,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,16985,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=16985,https://www.senado.es/legis14/senadores/regbi/DBR_162573.pdf,"MUÑOZ URIOL, MARÍA ÁNGELES"
213,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18238,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18238,https://www.senado.es/legis14/senadores/regbi/DBR_685.pdf,"MURO MARTÍN, MARÍA MONTSERRAT"
214,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,17805,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17805,https://www.senado.es/legis14/senadores/regbi/DBR_147517.pdf,"NACARINO MURIEL, MIGUEL ÁNGEL"
215,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18300,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18300,https://www.senado.es/legis14/senadores/regbi/DBR_621.pdf,"NARBONA RUIZ, MARÍA CRISTINA"
