name,type,value
DAVID ERGUIDO CANO,rentas,36.18
DAVID ERGUIDO CANO,rentas,27.60
DAVID JUAN MUÑOZ ARBONA,rentas,51251.35
DAVID JUAN MUÑOZ ARBONA,rentas,42.83
DONELIA ROLDÁN MARTÍNEZ,rentas,14993.38
DONELIA ROLDÁN MARTÍNEZ,rentas,13198.61
DONELIA ROLDÁN MARTÍNEZ,rentas,10800.00
EDUARDO FERNÁNDEZ RUBIÑO,rentas,46013.94
ELENA MUÑOZ FONTERIZ,rentas,88081.81
EMILIO ARGÜESO TORRES,rentas,91328.22
ESTEFANÍA MARTÍN PALOP,rentas,3471.64
ESTHER BASILIA DEL BRÍO GONZÁLEZ,rentas,9000.00
ESTHER BASILIA DEL BRÍO GONZÁLEZ,rentas,900.00
FÉLIX DE LAS CUEVAS CORTÉS,rentas,120187.94
FÉLIX DE LAS CUEVAS CORTÉS,rentas,5041.94
FÉLIX ORTEGA FERNÁNDEZ,rentas,2.54
FÉLIX ORTEGA FERNÁNDEZ,rentas,2400.00
FERNANDO CLAVIJO BATLLE,rentas,77746.16
FERNANDO DE ROSA TORNER,rentas,61638.03
FERNANDO DE ROSA TORNER,rentas,5070.00
FERNANDO DE ROSA TORNER,rentas,2.78
FERNANDO DE ROSA TORNER,rentas,20.48
FERNANDO DE ROSA TORNER,rentas,15552.00
FERNANDO DE ROSA TORNER,rentas,3600.00
FERNANDO DE ROSA TORNER,rentas,325.86
FERNANDO LASTRA VALDÉS,rentas,66041.87
FERNANDO LASTRA VALDÉS,rentas,202.81
FERNANDO LÓPEZ GIL,rentas,64409.89
FERNANDO LÓPEZ GIL,rentas,515.79
FERNANDO LÓPEZ GIL,rentas,136.12
FERNANDO PRIEGO CHACÓN,rentas,3657.74
FRANCISCO ANTONIO BLANCO ÁNGEL,rentas,55375.14
FRANCISCO ANTONIO BLANCO ÁNGEL,rentas,38.69
FRANCISCO ANTONIO BLANCO ÁNGEL,rentas,4411.62
FRANCISCO CAÑIZARES JIMÉNEZ,rentas,38816.13
FRANCISCO CAÑIZARES JIMÉNEZ,rentas,13407.00
FRANCISCO CAÑIZARES JIMÉNEZ,rentas,2940.00
FRANCISCO CAÑIZARES JIMÉNEZ,rentas,7680.18
FRANCISCO CAÑIZARES JIMÉNEZ,rentas,11.01
FRANCISCO JAVIER ALEGRE BUXEDA,rentas,6204.24
FRANCISCO JAVIER ALEGRE BUXEDA,rentas,0.00
FRANCISCO JAVIER ALEGRE BUXEDA,rentas,0.00
FRANCISCO JAVIER ALEGRE BUXEDA,rentas,0.00
FRANCISCO JAVIER ARAGÓN ARIZA,rentas,600.00
FRANCISCO JAVIER ARENAS BOCANEGRA,rentas,14894.00
FRANCISCO JAVIER ARENAS BOCANEGRA,rentas,777.00
FRANCISCO JAVIER ARENAS BOCANEGRA,rentas,189.00
FRANCISCO JAVIER DE LUCAS MARTÍN,rentas,4399.98
FRANCISCO JAVIER DE LUCAS MARTÍN,rentas,0.00
FRANCISCO JAVIER DE LUCAS MARTÍN,rentas,0.00
FRANCISCO JAVIER FRAGOSO MARTÍNEZ,rentas,48233.77
FRANCISCO JAVIER FRAGOSO MARTÍNEZ,rentas,2608.91
FRANCISCO JAVIER FRAGOSO MARTÍNEZ,rentas,0.29
FRANCISCO JAVIER FRAGOSO MARTÍNEZ,rentas,499.00
FRANCISCO JAVIER FRAGOSO MARTÍNEZ,rentas,475.00
FRANCISCO JAVIER FRAGOSO MARTÍNEZ,rentas,664.85
FRANCISCO JAVIER FRAGOSO MARTÍNEZ,rentas,4.43
FRANCISCO JAVIER LACALLE LACALLE,rentas,58000.00
FRANCISCO JAVIER MÁRQUEZ SÁNCHEZ,rentas,70466.06
FRANCISCO JOSÉ CARRILLO GUERRERO,rentas,3359.50
FRANCISCO JOSÉ CARRILLO GUERRERO,rentas,100823.03
FRANCISCO JOSÉ FERNÁNDEZ PÉREZ,rentas,69408.54
FRANCISCO JOSÉ FERNÁNDEZ PÉREZ,rentas,0.00
FRANCISCO MANUEL FAJARDO PALAREA,rentas,48739.00
FRANCISCO MANUEL FAJARDO PALAREA,rentas,1552.00
FRANCISCO MARTÍN BERNABÉ PÉREZ,rentas,68717.05
FRANCISCO MARTÍN BERNABÉ PÉREZ,rentas,5737.99
GONZALO JESÚS ROBLES OROZCO,rentas,190.00
GONZALO PALACÍN GUARNÉ,rentas,399.50
GONZALO PALACÍN GUARNÉ,rentas,5.38
GONZALO PALACÍN GUARNÉ,rentas,3040.00
GORKA ELEJABARRIETA DÍAZ,rentas,60.00
GREGORIO JESÚS FERNÁNDEZ VAQUERO,rentas,71201.90
GREGORIO JESÚS FERNÁNDEZ VAQUERO,rentas,13407.00
IDURRE BIDEGUREN GABANTXO,rentas,57591.80
IMANOL LANDA JÁUREGUI,rentas,60604.56
JACOBO GONZÁLEZ-ROBATTO PEROTE,rentas,27779.25
JAVIER GARCINUÑO RAMA,rentas,24062.78
JAVIER GARCINUÑO RAMA,rentas,5167.67
JAVIER GARCINUÑO RAMA,rentas,4981.50
JAVIER GARCINUÑO RAMA,rentas,0.00
JAVIER GARCINUÑO RAMA,rentas,178.00
JAVIER GARCINUÑO RAMA,rentas,2894.91
JAVIER IGNACIO MAROTO ARANZÁBAL,rentas,250.00
JAVIER IGNACIO MAROTO ARANZÁBAL,rentas,48000.00
JAVIER JORGE GUERRA FERNÁNDEZ,rentas,66404.68
JAVIER JORGE GUERRA FERNÁNDEZ,rentas,15528.00
JAVIER JORGE GUERRA FERNÁNDEZ,rentas,3375.77
JAVIER PUENTE REDONDO,rentas,40000.00
JAVIER PUENTE REDONDO,rentas,931.35
JAVIER PUENTE REDONDO,rentas,6600.00
JAVIER PUENTE REDONDO,rentas,775.00
JAVIER SANTIAGO VÉLEZ,rentas,4503.03
JAVIER SANTIAGO VÉLEZ,rentas,13526.79
JAVIER SANTIAGO VÉLEZ,rentas,9039.18
JAVIER SANTIAGO VÉLEZ,rentas,36241.71
JESÚS CARO ADANERO,rentas,2364.84
JESÚS CARO ADANERO,rentas,1100.98
JESÚS CARO ADANERO,rentas,3034.71
JESÚS GONZÁLEZ MÁRQUEZ,rentas,56196.54
JESÚS GONZÁLEZ MÁRQUEZ,rentas,2700.00
JESÚS MANUEL ALONSO JIMÉNEZ,rentas,7200.00
JESÚS MARTÍN RODRÍGUEZ,rentas,3.00
JESÚS MARTÍN RODRÍGUEZ,rentas,7200.00
JESÚS MARTÍN RODRÍGUEZ,rentas,7200.00
JESÚS VÁZQUEZ ABAD,rentas,71284.91
JOAN LERMA BLASCO,rentas,2044.68
JOAQUÍN EGEA SERRANO,rentas,28162.81
JOKIN BILDARRATZ SORRON,rentas,24717.58
JORDI LÓPEZ RAVANALS,rentas,103626.79
JORDI LÓPEZ RAVANALS,rentas,2404.90
JORGE DOMINGO MARTÍNEZ ANTOLÍN,rentas,41094.00
JOSÉ ANTONIO MONAGO TERRAZA,rentas,69174.79
JOSÉ ANTONIO MONAGO TERRAZA,rentas,22.50
JOSÉ ANTONIO MONAGO TERRAZA,rentas,2700.00
JOSÉ ANTONIO ROBLES RODRÍGUEZ,rentas,55861.00
JOSE ASENSI SABATER,rentas,55061.98
JOSE ASENSI SABATER,rentas,1368.35
JOSE ASENSI SABATER,rentas,6000.00
JOSE ASENSI SABATER,rentas,1254.12
JOSÉ AURELIO AGUILAR ROMÁN,rentas,5790.42
JOSÉ AURELIO AGUILAR ROMÁN,rentas,149650.00
JOSÉ AURELIO AGUILAR ROMÁN,rentas,13.56
JOSÉ CARMELO CEPEDA GARCÍA DE LEÓN,rentas,13368.82
JOSÉ ENRIQUE SÁNCHEZ NÚÑEZ,rentas,26322.14
JOSÉ ENRIQUE SÁNCHEZ NÚÑEZ,rentas,7.17
JOSÉ ENRIQUE SÁNCHEZ NÚÑEZ,rentas,7.17
JOSÉ FERNÁNDEZ BLANCO,rentas,1960.00
JOSÉ IGNACIO LANDALUCE CALLEJA,rentas,10260.00
JOSÉ IGNACIO LANDALUCE CALLEJA,rentas,196.00
JOSÉ IGNACIO LANDALUCE CALLEJA,rentas,12000.00
JOSÉ IGNACIO LANDALUCE CALLEJA,rentas,37500.00
JOSÉ IGNACIO LANDALUCE CALLEJA,rentas,4202.00
JOSÉ IGNACIO LANDALUCE CALLEJA,rentas,20400.00
JOSÉ IGNACIO LANDALUCE CALLEJA,rentas,3318.14
JOSÉ IGNACIO LANDALUCE CALLEJA,rentas,14557.66
JOSÉ JULIÁN GREGORIO LÓPEZ,rentas,66209.09
JOSÉ JULIÁN GREGORIO LÓPEZ,rentas,6.44
JOSÉ LATORRE RUIZ,rentas,4.39
JOSÉ LUIS GONZÁLEZ LA MOLA,rentas,48300.00
JOSÉ LUIS SANZ RUIZ,rentas,56000.00
JOSÉ MANUEL ARANDA LASSA,rentas,68132.00
JOSÉ MANUEL ARANDA LASSA,rentas,12227.00
JOSÉ MANUEL ARANDA LASSA,rentas,9431.00
JOSÉ MANUEL ARANDA LASSA,rentas,3445.98
JOSÉ MANUEL ARANDA LASSA,rentas,571.47
JOSÉ MANUEL ARANDA LASSA,rentas,1184.41
JOSÉ MANUEL ARANDA LASSA,rentas,8605.00
JOSÉ MANUEL BARREIRO FERNÁNDEZ,rentas,35.73
JOSÉ MANUEL BARREIRO FERNÁNDEZ,rentas,6439.51
JOSÉ MANUEL BARREIRO FERNÁNDEZ,rentas,1.40
JOSÉ MANUEL BARREIRO FERNÁNDEZ,rentas,4384.10
JOSÉ MANUEL BOLAÑOS VISO,rentas,843.00
JOSÉ MANUEL DE LA VEGA CARRERA,rentas,20169.64
JOSÉ MANUEL DE LA VEGA CARRERA,rentas,10128.00
JOSÉ MANUEL DE LA VEGA CARRERA,rentas,6967.92
JOSÉ MANUEL DE LA VEGA CARRERA,rentas,3754.89
JOSÉ MANUEL DE LA VEGA CARRERA,rentas,257.15
JOSÉ MANUEL MARÍN GASCÓN,rentas,18556.49
JOSÉ MANUEL MARÍN GASCÓN,rentas,13734.93
JOSÉ MANUEL MARÍN GASCÓN,rentas,3858.06
JOSÉ MANUEL MARÍN GASCÓN,rentas,7676.29
JOSÉ MANUEL MARÍN GASCÓN,rentas,8759.30
JOSÉ MANUEL TORTOSA RUIZ,rentas,1770.00
JOSÉ MANUEL TORTOSA RUIZ,rentas,15256.46
JOSÉ MANUEL TORTOSA RUIZ,rentas,38272.60
JOSÉ MANUEL TORTOSA RUIZ,rentas,812.83
JOSÉ MANUEL TORTOSA RUIZ,rentas,2105.62
JOSÉ MARÍA OLEAGA ZALVIDEA,rentas,38427.00
JOSÉ MARÍA OLEAGA ZALVIDEA,rentas,214.82
JOSÉ MARÍA OLEAGA ZALVIDEA,rentas,6240.00
JOSÉ MIGUEL FERNÁNDEZ VIADERO,rentas,33438.55
JOSÉ MIGUEL FERNÁNDEZ VIADERO,rentas,18660.18
JOSÉ MIGUEL FERNÁNDEZ VIADERO,rentas,255.00
JOSÉ MIGUEL FERNÁNDEZ VIADERO,rentas,300.00
JOSÉ MIGUEL FERNÁNDEZ VIADERO,rentas,1307.52
JOSÉ VICENTE MARÍ BOSÓ,rentas,21193.26
JOSEFA INMACULADA GONZÁLEZ BAYO,rentas,709.95
JOSEFINA ANTONIA BUENO ALONSO,rentas,69431.15
JOSEFINA ANTONIA BUENO ALONSO,rentas,128.50
JOSEFINA ANTONIA BUENO ALONSO,rentas,1243.57
JOSEP LLUÍS CLERIES I GONZÀLEZ,rentas,164.31
JOSEP MARIA CERVERA PINART,rentas,30603.02
JOSEP MARIA CERVERA PINART,rentas,16864.22
JOSEP MARIA CERVERA PINART,rentas,5856.62
JOSEP MARIA CERVERA PINART,rentas,2850.00
JOSEP MARIA CERVERA PINART,rentas,720.00
JOSEP MARIA MATAMALA ALSINA,rentas,13148.52
JOSEP MARIA MATAMALA ALSINA,rentas,780.00
JOSEP MARIA MATAMALA ALSINA,rentas,629.22
JOSEP RUFÀ GRÀCIA,rentas,1000.00
JOSEP RUFÀ GRÀCIA,rentas,50.00
JUAN ANTONIO GILABERT SÁNCHEZ,rentas,26091.00
JUAN CARLOS FRANCISCO RIVERA,rentas,22726.10
JUAN CARLOS FRANCISCO RIVERA,rentas,8100.00
JUAN CARLOS FRANCISCO RIVERA,rentas,650.00
JUAN CARLOS FRANCISCO RIVERA,rentas,5250.00
JUAN CARLOS MEDINA MARTÍNEZ,rentas,42071.54
JUAN JOSÉ IMBRODA ORTIZ,rentas,10540.00
JUAN JOSÉ SANZ VITORIO,rentas,90671.00
JUAN MANUEL JUNCAL RODRÍGUEZ,rentas,304.90
JUAN MANUEL JUNCAL RODRÍGUEZ,rentas,3.06
JUAN MARÍA VÁZQUEZ ROJAS,rentas,48165.00
JUAN MARÍA VÁZQUEZ ROJAS,rentas,25840.00
JUAN MARÍA VÁZQUEZ ROJAS,rentas,22950.00
JUAN MARÍA VÁZQUEZ ROJAS,rentas,275.00
JUAN MARÍA VÁZQUEZ ROJAS,rentas,16.00
JUAN MARÍA VÁZQUEZ ROJAS,rentas,4200.00
JUAN PABLO MARTÍN MARTÍN,rentas,52631.61
JUAN PABLO MARTÍN MARTÍN,rentas,25963.25
JUAN PABLO MARTÍN MARTÍN,rentas,3.95
JUAN PABLO MARTÍN MARTÍN,rentas,567.45
JULIA MARÍA LIBERAL LIBERAL,rentas,11700.00
JULIA MARÍA LIBERAL LIBERAL,rentas,11700.00
JULIA MARÍA LIBERAL LIBERAL,rentas,24000.00
KOLDO MARTÍNEZ URIONABARRENETXEA,rentas,57964.79
LORENA ROLDÁN SUÁREZ,rentas,56469.34
LORENA ROLDÁN SUÁREZ,rentas,3000.00
LOURDES RETUERTO RODRÍGUEZ,rentas,4302.69
LOURDES RETUERTO RODRÍGUEZ,rentas,0.00
LOURDES RETUERTO RODRÍGUEZ,rentas,0.00
LOURDES RETUERTO RODRÍGUEZ,rentas,0.00
LUIS ALBERTO PLAZA MARTÍN,rentas,40153.49
LUIS JESÚS URIBE-ETXEBARRIA APALATEGUI,rentas,55072.21
LUIS JESÚS URIBE-ETXEBARRIA APALATEGUI,rentas,2214.51
LUIS ROGELIO RODRÍGUEZ COMENDADOR PÉREZ,rentas,4399.66
LUIS ROGELIO RODRÍGUEZ COMENDADOR PÉREZ,rentas,2264.00
LUIS ROGELIO RODRÍGUEZ COMENDADOR PÉREZ,rentas,14885.00
LUISA FERNANDA RUDI ÚBEDA,rentas,13895.28
MANUEL BLASCO MARQUÉS,rentas,0.00
MANUEL CRUZ RODRÍGUEZ,rentas,9320.23
MANUEL CRUZ RODRÍGUEZ,rentas,4349.50
MANUEL CRUZ RODRÍGUEZ,rentas,13640.00
MANUEL ESCARDA ESCARDA,rentas,61727.05
MANUEL LORENZO VARELA RODRÍGUEZ,rentas,31673.04
MANUEL LORENZO VARELA RODRÍGUEZ,rentas,32.91
MANUEL LORENZO VARELA RODRÍGUEZ,rentas,7022.69
MANUEL MIRANDA MARTÍNEZ,rentas,48948.40
MANUEL MIRANDA MARTÍNEZ,rentas,1268.67
MARÍA ADELAIDA PEDROSA ROLDÁN,rentas,92.20
MARÍA ADELAIDA PEDROSA ROLDÁN,rentas,1687.28
MARÍA ÁNGELES MUÑOZ URIOL,rentas,84621.46
MARÍA ÁNGELES MUÑOZ URIOL,rentas,14400.00
MARÍA ÁNGELES MUÑOZ URIOL,rentas,14400.00
MARÍA ÁNGELES MUÑOZ URIOL,rentas,10200.00
MARÍA ASCENSIÓN GODOY TENA,rentas,3.75
MARÍA CARMEN ISABEL POBO SÁNCHEZ,rentas,2400.00
MARÍA CARMEN ISABEL POBO SÁNCHEZ,rentas,0.00
MARÍA CRISTINA NARBONA RUIZ,rentas,49382.76
MARÍA DE LAS MERCEDES CANTALAPIEDRA ÁLVAREZ,rentas,17817.86
MARÍA DE LAS MERCEDES CANTALAPIEDRA ÁLVAREZ,rentas,975.20
MARÍA DE LAS MERCEDES CANTALAPIEDRA ÁLVAREZ,rentas,161.11
MARÍA DE LAS MERCEDES CANTALAPIEDRA ÁLVAREZ,rentas,26.78
MARÍA DE LOS ÁNGELES LUNA MORALES,rentas,54986.60
MARÍA DEL CARMEN FERNÁNDEZ CABALLERO,rentas,4752.96
MARÍA DEL CARMEN LEYTE COELLO,rentas,8755.42
MARÍA DEL CARMEN LEYTE COELLO,rentas,1935.00
MARÍA DEL CARMEN LEYTE COELLO,rentas,2755.00
MARÍA DEL CARMEN MÍNGUEZ SIERRA,rentas,32446.64
MARÍA DEL CARMEN MORÁN FRANCO,rentas,6000.00
MARÍA DEL CARMEN MORÁN FRANCO,rentas,6116.63
MARÍA DEL CARMEN MORÁN FRANCO,rentas,8566.00
MARÍA DEL CARMEN MORÁN FRANCO,rentas,353.95
MARÍA DEL CARMEN MORÁN FRANCO,rentas,44.20
MARÍA DEL CARMEN MORÁN FRANCO,rentas,2525.17
MARÍA DEL CARMEN MORÁN FRANCO,rentas,27450.08
MARÍA DEL MAR ARNÁIZ GARCÍA,rentas,22352.33
MARÍA DEL MAR ARNÁIZ GARCÍA,rentas,9374.90
MARÍA DEL MAR ARNÁIZ GARCÍA,rentas,130.00
MARÍA DEL MAR ARNÁIZ GARCÍA,rentas,150.00
MARÍA DOLORES ETXANO VARELA,rentas,700.00
MARÍA DOLORES ETXANO VARELA,rentas,358.57
MARÍA DOLORES ETXANO VARELA,rentas,13.36
MARÍA ELENA DIEGO CASTELLANOS,rentas,61452.26
MARÍA ELENA DIEGO CASTELLANOS,rentas,5400.00
MARÍA FERNÁNDEZ ÁLVAREZ,rentas,3564.00
MARÍA FERNÁNDEZ ÁLVAREZ,rentas,780.00
MARÍA FERNÁNDEZ ÁLVAREZ,rentas,2680.50
MARÍA ISABEL FERNÁNDEZ GUTIÉRREZ,rentas,26061.03
MARÍA ISABEL MORENO DUQUE,rentas,65296.07
MARÍA ISABEL VAQUERO MONTERO,rentas,40183.16
MARÍA ISABEL VAQUERO MONTERO,rentas,5940.00
MARÍA JESÚS ÁLVAREZ GONZÁLEZ,rentas,66041.87
MARÍA JESÚS ÁLVAREZ GONZÁLEZ,rentas,167.37
MARÍA JESÚS CASTRO MATEOS,rentas,9485.84
MARÍA JESÚS CASTRO MATEOS,rentas,26992.00
MARÍA JOSÉ HEREDIA DE MIGUEL,rentas,52408.01
MARÍA JOSÉ HEREDIA DE MIGUEL,rentas,12.85
MARÍA LUISA BUSTINDUY BARRERO,rentas,55699.07
MARÍA MAR HORMIGO LEÓN,rentas,18246.61
MARÍA MAR HORMIGO LEÓN,rentas,4.59
MARÍA MARGARITA PEREGRINA ADRIO TARACIDO,rentas,15795.55
MARÍA MARGARITA PEREGRINA ADRIO TARACIDO,rentas,10550.04
MARÍA MERCEDES BERENGUER LLORENS,rentas,68582.81
MARÍA MERCEDES BERENGUER LLORENS,rentas,6983.00
MARÍA MERCEDES BERENGUER LLORENS,rentas,6629.00
MARÍA MERCEDES BERENGUER LLORENS,rentas,122.55
MARÍA MERCEDES BERENGUER LLORENS,rentas,71.94
MARÍA MERCEDES GARMENDIA BERECIARTU,rentas,40360.74
MARÍA MERCEDES GARMENDIA BERECIARTU,rentas,3134.06
MARÍA MERCEDES OTERO GARCÍA,rentas,19306.09
MARÍA MERCEDES OTERO GARCÍA,rentas,2769.97
MARÍA MONTSERRAT MURO MARTÍN,rentas,57659.43
MARÍA NIEVES HERNÁNDEZ ESPINAL,rentas,17774.40
MARÍA NIEVES HERNÁNDEZ ESPINAL,rentas,77.89
MARÍA NIEVES HERNÁNDEZ ESPINAL,rentas,49.87
MARÍA PILAR ALÍA AGUADO,rentas,4565.82
MARÍA PILAR ALÍA AGUADO,rentas,88022.32
MARÍA PILAR ALÍA AGUADO,rentas,34649.64
MARÍA PILAR ALÍA AGUADO,rentas,52.36
MARÍA PILAR ALÍA AGUADO,rentas,71.13
MARÍA PILAR DELGADO DÍEZ,rentas,4405.82
MARÍA PILAR DELGADO DÍEZ,rentas,120.61
MARÍA PILAR DELGADO DÍEZ,rentas,4200.00
MARÍA PILAR LLOP CUENCA,rentas,76136.34
MARÍA PILAR LLOP CUENCA,rentas,300.00
MARÍA PILAR LLOP CUENCA,rentas,400.00
MARÍA PILAR LLOP CUENCA,rentas,272.87
MARÍA PILAR MARTÍNEZ PEÑARRUBIA,rentas,38767.46
MARÍA PILAR MARTÍNEZ PEÑARRUBIA,rentas,22.52
MARÍA PILAR MARTÍNEZ PEÑARRUBIA,rentas,34644.74
MARÍA ROSA PERAL DÍEZ,rentas,44371.45
MARÍA SALOM COLL,rentas,34000.00
MARÍA SALOM COLL,rentas,41981.99
MARÍA SALOM COLL,rentas,0.00
MARÍA TERESA FERNÁNDEZ MOLINA,rentas,42702.64
MARÍA TERESA FERNÁNDEZ MOLINA,rentas,292.50
MARÍA TERESA FERNÁNDEZ MOLINA,rentas,60.42
MARÍA TERESA FERNÁNDEZ MOLINA,rentas,1248.00
MARÍA TERESA LÓPEZ MARTÍN,rentas,63108.37
MARÍA TERESA LÓPEZ MARTÍN,rentas,10000.00
MARÍA TERESA MACÍAS MATEOS,rentas,48412.52
MARÍA TERESA MARTÍN POZO,rentas,57880.27
MARÍA TERESA MARTÍN POZO,rentas,3400.00
MARÍA TERESA MARTÍN POZO,rentas,58.25
MARÍA TERESA MARTÍN POZO,rentas,1174.00
MARÍA TERESA RUIZ-SILLERO BERNAL,rentas,47486.12
MARÍA TERESA RUIZ-SILLERO BERNAL,rentas,181.07
MARÍA TERESA RUIZ-SILLERO BERNAL,rentas,502.24
MARÍA TERESA RUIZ-SILLERO BERNAL,rentas,660.00
MARÍA VICTORIA DE PABLO DÁVILA,rentas,8491.00
MERCEDES FERNÁNDEZ GONZÁLEZ,rentas,61813.00
MERCEDES FERNÁNDEZ GONZÁLEZ,rentas,4302.00
MICAELA NAVARRO GARZÓN,rentas,4200.00
MICAELA NAVARRO GARZÓN,rentas,145.65
MIGUEL ÁNGEL HEREDIA DÍAZ,rentas,5040.00
MIGUEL ÁNGEL HEREDIA DÍAZ,rentas,1230.00
MIGUEL ÁNGEL NACARINO MURIEL,rentas,10988.54
MIGUEL ÁNGEL VÁZQUEZ BERMÚDEZ,rentas,61853.02
MIGUEL ÁNGEL VÁZQUEZ BERMÚDEZ,rentas,35.86
MIGUEL ÁNGEL VÁZQUEZ BERMÚDEZ,rentas,1183.60
MIGUEL ÁNGEL VISO DIÉGUEZ,rentas,2078.79
MIGUEL ÁNGEL VISO DIÉGUEZ,rentas,378.97
MIGUEL DALMAU BLANCO,rentas,36508.01
