unique_id,full_name,first_name,last_name,party,political_group,political_group_IW,gender,congress_page
Andrésalbertorodríguezalmeida,Andrés Alberto  Rodríguez Almeida, Andrés Alberto  ,Rodríguez Almeida,VOX,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=256&idLegislatura=14
Andrésloritelorite,Andrés  Lorite Lorite, Andrés  ,Lorite Lorite,PP,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=105&idLegislatura=14
Ángellópezmaraver,Ángel  López Maraver, Ángel  ,López Maraver,IU/GCUP-EC-GC,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=311&idLegislatura=14
Ángellópezmaraver,Ángel  López Maraver, Ángel  ,López Maraver,IU/GCUP-EC-GC,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=311&idLegislatura=14
Ángellópezmaraver,Ángel  López Maraver, Ángel  ,López Maraver,IU/GCUP-EC-GC,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=311&idLegislatura=14
Ángelluisgonzálezmuñoz,Ángel Luis González Muñoz,Ángel ,Gonzalez Munoz,PP,GPP,GP. Popular en el congreso,M,#N/A
Antidiofagúndezcampo,Antidio  Fagúndez Campo, Antidio  ,Fagúndez Campo,PSOE,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=4&idLegislatura=14
Antoniajoverdíaz,Antonia  Jover Díaz, Antonia  ,Jover Díaz,UP/GCUP-EC-GC,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=334&idLegislatura=14
Antoniogómez-Reinovarela,Antonio  Gómez-Reino Varela, Antonio  ,Gómez-Reino Varela,EC-UP/GCPU-EC-GC,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=176&idLegislatura=14
Antoniogonzálezterol,Antonio  González Terol, Antonio  ,González Terol,PP,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=166&idLegislatura=14
