unique_id,full_name,first_name,last_name,political_group,gender,congress_page
GemmaAraujoMorales,Gemma  Araujo Morales, Gemma  ,Araujo Morales,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=364&idLegislatura=14
ManuelArribasMaroto,Manuel  Arribas Maroto, Manuel  ,Arribas Maroto,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=369&idLegislatura=14
InésArrimadasGarcía,Inés  Arrimadas García, Inés  ,Arrimadas García,GCs ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=331&idLegislatura=14
Alberto  AsartaCuevas,Alberto  Asarta Cuevas, Alberto  ,Asarta Cuevas,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=129&idLegislatura=14
JaumeAsensLlodrà,Jaume  Asens Llodrà, Jaume  ,Asens Llodrà,GCUP-EC-GC ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=291&idLegislatura=14
LázaroAzorínSalar,Lázaro  Azorín Salar, Lázaro  ,Azorín Salar,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=371&idLegislatura=14
EdmundoBalFrancés,Edmundo  Bal Francés, Edmundo  ,Bal Francés,GCs ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=211&idLegislatura=14
JoanBaldovíRoda,Joan  Baldoví Roda, Joan  ,Baldoví Roda,GPlu ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=247&idLegislatura=14
CarmenBañosRuiz,Carmen  Baños Ruiz, Carmen  ,Baños Ruiz,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=365&idLegislatura=14
ÍñigoBarandiaranBenito,Íñigo  Barandiaran Benito, Íñigo  ,Barandiaran Benito,GV  EAJ-PNV,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=97&idLegislatura=14
JavierBasCorugeira,Javier  Bas Corugeira, Javier  ,Bas Corugeira,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=118&idLegislatura=14
MontserratBassaColl,Montserrat  Bassa Coll, Montserrat  ,Bassa Coll,GR ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=192&idLegislatura=14
MeritxellBatetLamaña,Meritxell  Batet Lamaña, Meritxell  ,Batet Lamaña,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=215&idLegislatura=14
FerranBelAccensi,Ferran  Bel Accensi, Ferran  ,Bel Accensi,GPlu ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=14&idLegislatura=14
IoneBelarraUrteaga,Ione  Belarra Urteaga, Ione  ,Belarra Urteaga,GCUP-EC-GC ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=139&idLegislatura=14
AnaMaríaBeltránVillalba,Ana María  Beltrán Villalba, Ana María  ,Beltrán Villalba,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=260&idLegislatura=14
LauraBerjaVega,Laura  Berja Vega, Laura  ,Berja Vega,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=70&idLegislatura=14
JoséAntonioBermúdezdeCastroFernández,José Antonio  Bermúdez De Castro Fernández, José Antonio  ,Bermúdez de Castro Fernández,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=181&idLegislatura=14
VicenteBetoretColl,Vicente  Betoret Coll, Vicente  ,Betoret Coll,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=228&idLegislatura=14
PatriciaBlanquerAlcaraz,Patricia  Blanquer Alcaraz, Patricia  ,Blanquer Alcaraz,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=71&idLegislatura=14
GenísBoadellaEsteve,Genís  Boadella Esteve, Genís  ,Boadella Esteve,GPlu ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=24&idLegislatura=14
LauraBorràsCastanyer,Laura  Borràs Castanyer, Laura  ,Borràs Castanyer,GPlu ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=25&idLegislatura=14
MireiaBorrásPabón,Mireia  Borrás Pabón, Mireia  ,Borrás Pabón,GVOX ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=142&idLegislatura=14
IsabelMaríaBorregoCortés,Isabel María  Borrego Cortés, Isabel María  ,Borrego Cortés,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=130&idLegislatura=14
AnaMaríaBotellaGómez,Ana María  Botella Gómez, Ana María  ,Botella Gómez,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=238&idLegislatura=14
AlbertBotranPahissa,Albert  Botran Pahissa, Albert  ,Botran Pahissa,GMx ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=87&idLegislatura=14
EvaBravoBarco,Eva  Bravo Barco, Eva  ,Bravo Barco,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=281&idLegislatura=14
EvaPatriciaBuenoCampanario,Eva Patricia  Bueno Campanario, Eva Patricia  ,Bueno Campanario,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=314&idLegislatura=14
HelenaCaballeroGutiérrez,Helena  Caballero Gutiérrez, Helena  ,Caballero Gutiérrez,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=320&idLegislatura=14
TomásCabezónCasas,Tomás  Cabezón Casas, Tomás  ,Cabezón Casas,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=28&idLegislatura=14
JuanAntonioCallejasCano,Juan Antonio  Callejas Cano, Juan Antonio  ,Callejas Cano,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=35&idLegislatura=14
PabloJuanCalvoListe,Pablo Juan  Calvo Liste, Pablo Juan  ,Calvo Liste,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=213&idLegislatura=14
