unique_id,full_name,first_name,last_name,political_group,political_group_IW,gender,congress_page
Íñigobarandiaranbenito,Íñigo  Barandiaran Benito, Íñigo  ,Barandiaran Benito,GPV (EAJ-PNV),GP. Vasco (EAJ-PNV),M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=97&idLegislatura=14
Javierbascorugeira,Javier  Bas Corugeira, Javier  ,Bas Corugeira,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=118&idLegislatura=14
Montserratbassacoll,Montserrat  Bassa Coll, Montserrat  ,Bassa Coll,GPR ,GP. Republicano,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=192&idLegislatura=14
Meritxellbatetlamaña,Meritxell  Batet Lamaña, Meritxell  ,Batet Lamaña,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=215&idLegislatura=14
Ferranbelaccensi,Ferran  Bel Accensi, Ferran  ,Bel Accensi,GPPlu ,GP. Plural,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=14&idLegislatura=14
Ionebelarraurteaga,Ione  Belarra Urteaga, Ione  ,Belarra Urteaga,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=139&idLegislatura=14
Anamaríabeltránvillalba,Ana María  Beltrán Villalba, Ana María  ,Beltrán Villalba,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=260&idLegislatura=14
Lauraberjavega,Laura  Berja Vega, Laura  ,Berja Vega,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=70&idLegislatura=14
Joséantoniobermúdezdecastrofernández,José Antonio  Bermúdez De Castro Fernández, José Antonio  ,Bermúdez de Castro Fernández,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=181&idLegislatura=14
Vicentebetoretcoll,Vicente  Betoret Coll, Vicente  ,Betoret Coll,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=228&idLegislatura=14
Patriciablanqueralcaraz,Patricia  Blanquer Alcaraz, Patricia  ,Blanquer Alcaraz,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=71&idLegislatura=14
Genísboadellaesteve,Genís  Boadella Esteve, Genís  ,Boadella Esteve,GPPlu ,GP. Plural,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=24&idLegislatura=14
Lauraborràscastanyer,Laura  Borràs Castanyer, Laura  ,Borràs Castanyer,GPPlu ,GP. Plural,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=25&idLegislatura=14
Mireiaborráspabón,Mireia  Borrás Pabón, Mireia  ,Borrás Pabón,GPVOX ,GP. VOX,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=142&idLegislatura=14
Isabelmaríaborregocortés,Isabel María  Borrego Cortés, Isabel María  ,Borrego Cortés,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=130&idLegislatura=14
Anamaríabotellagómez,Ana María  Botella Gómez, Ana María  ,Botella Gómez,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=238&idLegislatura=14
Albertbotranpahissa,Albert  Botran Pahissa, Albert  ,Botran Pahissa,GPMX,GP. Mixto,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=87&idLegislatura=14
Evabravobarco,Eva  Bravo Barco, Eva  ,Bravo Barco,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=281&idLegislatura=14
Evapatriciabuenocampanario,Eva Patricia  Bueno Campanario, Eva Patricia  ,Bueno Campanario,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=314&idLegislatura=14
Helenacaballerogutiérrez,Helena  Caballero Gutiérrez, Helena  ,Caballero Gutiérrez,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=320&idLegislatura=14
Tomáscabezóncasas,Tomás  Cabezón Casas, Tomás  ,Cabezón Casas,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=28&idLegislatura=14
Juanantoniocallejascano,Juan Antonio  Callejas Cano, Juan Antonio  ,Callejas Cano,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=35&idLegislatura=14
Pablojuancalvoliste,Pablo Juan  Calvo Liste, Pablo Juan  ,Calvo Liste,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=213&idLegislatura=14
Carmencalvopoyato,Carmen  Calvo Poyato, Carmen  ,Calvo Poyato,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=258&idLegislatura=14
Pablocambroneropiqueras,Pablo  Cambronero Piqueras, Pablo  ,Cambronero Piqueras,GPCs ,GP. Ciudadanos,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=58&idLegislatura=14
Concepcañadellsalvia,Concep  Cañadell Salvia, Concep  ,Cañadell Salvia,GPPlu ,GP. Plural,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=21&idLegislatura=14
Marianadegraciacanalesduque,Mariana De Gracia  Canales Duque, Mariana de Gracia  ,Canales Duque,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=3&idLegislatura=14
Pilarcancelarodríguez,Pilar  Cancela Rodríguez, Pilar  ,Cancela Rodríguez,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=292&idLegislatura=14
Inésmaríacañizarespacheco,Inés María  Cañizares Pacheco, Inés María  ,Cañizares Pacheco,GPVOX ,GP. VOX,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=152&idLegislatura=14
Zaidacanteradecastro,Zaida  Cantera De Castro, Zaida  ,Cantera de Castro,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=38&idLegislatura=14
Joancapdevilaiesteve,Joan  Capdevila I Esteve, Joan  ,Capdevila i Esteve,GPR ,GP. Republicano,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=172&idLegislatura=14
Eduardocarazohermoso,Eduardo  Carazo Hermoso, Eduardo  ,Carazo Hermoso,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=245&idLegislatura=14
Maríaluisacarcedoroces,María Luisa  Carcedo Roces, María Luisa  ,Carcedo Roces,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=270&idLegislatura=14
Beatrizmicaelacarrillodelosreyes,Beatriz Micaela  Carrillo De Los Reyes, Beatriz Micaela  ,Carrillo de los Reyes,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=280&idLegislatura=14
Maríacarvalhodantas,María  Carvalho Dantas, María  ,Carvalho Dantas,GPR ,GP. Republicano,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=190&idLegislatura=14
Pablocasadoblanco,Pablo  Casado Blanco, Pablo  ,Casado Blanco,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=307&idLegislatura=14
Pedrocasareshontañón,Pedro  Casares Hontañón, Pedro  ,Casares Hontañón,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=347&idLegislatura=14
Albertocaseroávila,Alberto  Casero Ávila, Alberto  ,Casero Ávila,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=283&idLegislatura=14
Miguelángelcastellónrubio,Miguel Ángel  Castellón Rubio, Miguel Ángel  ,Castellón Rubio,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=74&idLegislatura=14
Elenacastillolópez,Elena  Castillo López, Elena  ,Castillo López,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=77&idLegislatura=14
Santoscerdánleón,Santos  Cerdán León, Santos  ,Cerdán León,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=163&idLegislatura=14
Javiercerqueirogonzález,Javier  Cerqueiro González, Javier  ,Cerqueiro González,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=47&idLegislatura=14
Ricardochamorrodelmo,Ricardo  Chamorro Delmo, Ricardo  ,Chamorro Delmo,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=125&idLegislatura=14
Óscarclavelllópez,Óscar  Clavell López, Óscar  ,Clavell López,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=108&idLegislatura=14
Franciscojosécontreraspeláez,Francisco José  Contreras Peláez, Francisco José  ,Contreras Peláez,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=229&idLegislatura=14
Mariocortéscarballo,Mario  Cortés Carballo, Mario  ,Cortés Carballo,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=317&idLegislatura=14
Ismaelcortésgómez,Ismael  Cortés Gómez, Ismael  ,Cortés Gómez,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=350&idLegislatura=14
Rafaelacrespínrubio,Rafaela  Crespín Rubio, Rafaela  ,Crespín Rubio,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=107&idLegislatura=14
Maríasoledadcruz-Guzmángarcía,María Soledad  Cruz-Guzmán García, María Soledad  ,Cruz-Guzmán García,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=159&idLegislatura=14
Juancuatrecasasasua,Juan  Cuatrecasas Asua, Juan  ,Cuatrecasas Asua,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=303&idLegislatura=14
Patriciadelasherasfernández,Patricia  De Las Heras Fernández, Patricia  ,De las Heras Fernández,GPVOX ,GP. VOX,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=248&idLegislatura=14
Llanosdelunatobarra,Llanos  De Luna Tobarra, Llanos  ,De Luna Tobarra,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=157&idLegislatura=14
Rocíodemeerméndez,Rocío  De Meer Méndez, Rocío  ,De Meer Méndez,GPVOX ,GP. VOX,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=340&idLegislatura=14
Juliodelvalledeiscar,Julio  Del Valle De Iscar, Julio  ,Del Valle de Iscar,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=360&idLegislatura=14
Emiliojesúsdelvallerodríguez,Emilio Jesús  Del Valle Rodríguez, Emilio Jesús  ,Del Valle Rodríguez,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=175&idLegislatura=14
Celsoluisdelgadoarce,Celso Luis  Delgado Arce, Celso Luis  ,Delgado Arce,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=116&idLegislatura=14
Guillermodíazgómez,Guillermo  Díaz Gómez, Guillermo  ,Díaz Gómez,GPCs ,GP. Ciudadanos,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=122&idLegislatura=14
Yolandadíazpérez,Yolanda  Díaz Pérez, Yolanda  ,Díaz Pérez,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=171&idLegislatura=14
Lucandredioufdioh,Luc Andre  Diouf Dioh, Luc Andre  ,Diouf Dioh,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=221&idLegislatura=14
Josécarlosduránperalta,José Carlos  Durán Peralta, José Carlos  ,Durán Peralta,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=342&idLegislatura=14
Joséignacioechánizsalgado,José Ignacio  Echániz Salgado, José Ignacio  ,Echániz Salgado,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=89&idLegislatura=14
Pabloecheniquerobba,Pablo  Echenique Robba, Pablo  ,Echenique Robba,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=13&idLegislatura=14
Maríagloriaelizoserrano,María Gloria  Elizo Serrano, María Gloria  ,Elizo Serrano,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=300&idLegislatura=14
Odónelorzagonzález,Odón  Elorza González, Odón  ,Elorza González,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=324&idLegislatura=14
Francescxaviereritjaciuró,Francesc Xavier  Eritja Ciuró, Francesc Xavier  ,Eritja Ciuró,GPR ,GP. Republicano,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=186&idLegislatura=14
Íñigoerrejóngalván,Íñigo  Errejón Galván, Íñigo  ,Errejón Galván,GPPlu ,GP. Plural,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=233&idLegislatura=14
Carolinaespañareina,Carolina  España Reina, Carolina  ,España Reina,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=316&idLegislatura=14
Josémaríaespejo-Saavedraconesa,José María  Espejo-Saavedra Conesa, José María  ,Espejo-Saavedra Conesa,GPCs ,GP. Ciudadanos,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=257&idLegislatura=14
Ivánespinosadelosmonterosdesimón,Iván  Espinosa De Los Monteros De Simón, Iván  ,Espinosa de los Monteros de Simón,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=83&idLegislatura=14
Aitorestebanbravo,Aitor  Esteban Bravo, Aitor  ,Esteban Bravo,GPV (EAJ-PNV),GP. Vasco (EAJ-PNV),M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=94&idLegislatura=14
Cristinaaliciaestebancalonje,Cristina Alicia  Esteban Calonje, Cristina Alicia  ,Esteban Calonje,GPVOX ,GP. VOX,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=297&idLegislatura=14
Antidiofagúndezcampo,Antidio  Fagúndez Campo, Antidio  ,Fagúndez Campo,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=4&idLegislatura=14
Maríaluisafanecalópez,María Luisa  Faneca López, María Luisa  ,Faneca López,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=253&idLegislatura=14
Andreafernándezbenéitez,Andrea  Fernández Benéitez, Andrea  ,Fernández Benéitez,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=102&idLegislatura=14
Anabelénfernándezcasero,Ana Belén  Fernández Casero, Ana Belén  ,Fernández Casero,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=230&idLegislatura=14
Sofíafernándezcastañón,Sofía  Fernández Castañón, Sofía  ,Fernández Castañón,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=272&idLegislatura=14
Pedrofernándezhernández,Pedro  Fernández Hernández, Pedro  ,Fernández Hernández,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=146&idLegislatura=14
Tomásfernándezríos,Tomás  Fernández Ríos, Tomás  ,Fernández Ríos,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=330&idLegislatura=14
Rafaelfernández-Lomanagutiérrez,Rafael  Fernández-Lomana Gutiérrez, Rafael  ,Fernández-Lomana Gutiérrez,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=294&idLegislatura=14
Carloshugofernández-Rocasuárez,Carlos Hugo  Fernández-Roca Suárez, Carlos Hugo  ,Fernández-Roca Suárez,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=298&idLegislatura=14
Soniaferrertesoro,Sonia  Ferrer Tesoro, Sonia  ,Ferrer Tesoro,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=114&idLegislatura=14
Josémaríafigaredoálvarez-Sala,José María  Figaredo Álvarez-Sala, José María  ,Figaredo Álvarez-Sala,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=318&idLegislatura=14
Isabelfrancocarmona,Isabel  Franco Carmona, Isabel  ,Franco Carmona,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=321&idLegislatura=14
Juanbernardofuentescurbelo,Juan Bernardo  Fuentes Curbelo, Juan Bernardo  ,Fuentes Curbelo,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=359&idLegislatura=14
Diegogagobugarín,Diego  Gago Bugarín, Diego  ,Gago Bugarín,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=121&idLegislatura=14
Concepcióngamarraruiz-Clavijo,Concepción  Gamarra Ruiz-Clavijo, Concepción  ,Gamarra Ruiz-Clavijo,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=261&idLegislatura=14
Óscargamazomicó,Óscar  Gamazo Micó, Óscar  ,Gamazo Micó,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=212&idLegislatura=14
Mariogarcéssanagustín,Mario  Garcés Sanagustín, Mario  ,Garcés Sanagustín,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=219&idLegislatura=14
Carlosgarcíaadanero,Carlos  García Adanero, Carlos  ,García Adanero,GPMX,GP. Mixto,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=127&idLegislatura=14
